Company Name,Published Date,Location,Skills Required,Job Description,Apply link
Nielsen Research Ltd. Co.,Posted 5 days ago,Bengaluru / Bangalore,"Airflow,Python,Spark,Sql,Aws,Docker,Database,Git,Couchbase,Mysql,Bigdata,Technicalskills,Mongodb,Oracle,Nosql","Associate Big Data Engineer  ( Airflow / Python / Spark ) Bangalore ,  IndiaTechnology - EngineeringFull Time  /  HybridAt Nielsen ,  we believe that career growth is a partne... More Details
",https://www.timesjobs.com/job-detail/nielsen-associate-big-data-engineer-airflow-python-spark-nielsen-research-ltd-co-bengaluru-bangalore-0-to-2-yrs-jobid-HXUjLcZR1XZzpSvf__PLUS__uAgZw==&source=srp
Nielsen Research Ltd. Co.,Posted 6 days ago,Bengaluru / Bangalore,"Bigdata,Aws,Scripting(Java,Python),Sql,Datascience,Scala,Postgresql,Shellscripting,Technicalskills,Foxpro,Oracle,Softwareengineerdeveloper,Grails,Javascript,Cobol,Writtencommunication,Struts,Unix/Linux","Manager - Big Data  ( AWS / Scripting  ( Java ,  Python )  Bangalore ,  IndiaTechnology - Engineering  /  Full Time  /  HybridAt Nielsen ,  we believe that career growth is a ... More Details
",https://www.timesjobs.com/job-detail/nielsen-manager-big-data-aws-scripting-java-python-nielsen-research-ltd-co-bengaluru-bangalore-5-to-7-yrs-jobid-zmnKsHv3osdzpSvf__PLUS__uAgZw==&source=srp
Alstom Projects India Ltd.,Posted 6 days ago,,"Softwaredevelopment,C/C,Python,Java,Sql,Softwaredesign,Database,Programmanager,Softwareengineering,Softwaredocumentation,Infrastructure","ATS Software Development Engineer  ( C / C   ,  Python ,  Java ,  SQL ) Date: 8 Feb 2024Location: Bangkok ,  THCompany: AlstomReq ID: 446481Leading societies to a low carbon f... More Details
",https://www.timesjobs.com/job-detail/ats-software-development-engineer-c-c-python-java-sql-alstom-projects-india-ltd-1-to-5-yrs-jobid-vYBgUrWknutzpSvf__PLUS__uAgZw==&source=srp
buck global llc,Posted today,Bengaluru / Bangalore,"Pythondevelopment,Cloudarchitecture,Opensourcecontribution,Virtualizationconcepts,Openstackexpertise,Storage,Artificialintelligence,Security,Devops,Linux,Softwareengineer,Cloudcomputing,Cloudservices,Microsoftazure,Osinternals,Infrastructure,Unix","IntroductionAt IBM ,  work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To ... More Details
",https://www.timesjobs.com/job-detail/de-jobs-ibm-python-cloud-developer-in-bangalore-india-buck-global-llc-bengaluru-bangalore-4-to-5-yrs-jobid-SZGwVvOwmj9zpSvf__PLUS__uAgZw==&source=srp
Nielsen Research Ltd. Co.,Posted few days ago,Bengaluru / Bangalore,"Aws,Java,Python,Sql,Bigdata,Scala,Postgresql,Devops,Softwareengineer,Shellscripting,Mysql,Technicalskills,Foxpro,Oracle,Grails,Javascript,Cobol,Writtencommunication,Struts,Unix/Linux","** Staff Software Engineer - Big Data with  ( AWS / Java / Python )  Bangalore ,  India**Technology  Engineering  /  Full Time  /  HybridAt Nielsen ,  we believe that career g... More Details
",https://www.timesjobs.com/job-detail/nielsen-staff-software-engineer-big-data-with-aws-java-python-nielsen-research-ltd-co-bengaluru-bangalore-6-to-9-yrs-jobid-5aV5xlGgOhFzpSvf__PLUS__uAgZw==&source=srp
Nielsen Research Ltd. Co.,Posted few days ago,Bengaluru / Bangalore,"Java/Python,Spark/Scala,Sql,Cloudimplementation,Agilescrum,Orchestration,Storage,Security,Apache,Postgresql,Json,Shellscripting,Mysql,Bigdata,Technicalskills,Writtencommunication,Unix/Linux","Big Data Engineer  ( Java / Python ,  Spark / Scala ,  SQL )  Bangalore ,  IndiaTechnology  Engineering  /  Full Time  /  HybridAt Nielsen ,  we believe that career growth is ... More Details
",https://www.timesjobs.com/job-detail/nielsen-big-data-engineer-java-python-spark-scala-sql-nielsen-research-ltd-co-bengaluru-bangalore-3-to-5-yrs-jobid-2n9XNiHGNCRzpSvf__PLUS__uAgZw==&source=srp
krazy mantra hr solutions,Posted few days ago,Kolkata,"Azuredatabricks,Azuredatafactory,Python,Datamigrationsolutions,Datawarehousing,Hive,Scala,Nosql,Java,Hadoop,Bigdata","Hiring For Data Engineer- Databricks   Azure Data Factory   Python Job Description Data Engineer- Databricks   Azure Data Factory   Python Desired Profile Skills: Azure Databr... More Details
",https://www.timesjobs.com/job-detail/hiring-for-data-engineer-databricks-azure-data-factory-python-krazy-mantra-hr-solutions-kolkata-2-to-5-yrs-jobid-L9__PLUS__uQXq0uqNzpSvf__PLUS__uAgZw==&source=srp
ansysco anand,Posted few days ago,Pune,"Electromagneticfieldtheory,Powerelectronics,Electricmachines,Numericalmodeling,Machinelearningbasics,Sql,Database,Satellite,Python","# - **Date:** Feb 21 ,  2024- **Location:** Pune ,  MH ,  IN ,  411057- **Company:** Ansys- **Requisition #:** 13975---When visionary companies need to know how their world-ch... More Details
",https://www.timesjobs.com/job-detail/technical-support-engineer-electric-machine-power-electronics-python-ansysco-anand-pune-1-to-4-yrs-jobid-h__SLASH__Evgf8Fv__SLASH__hzpSvf__PLUS__uAgZw==&source=srp
crescendo global,Posted few days ago,"Mumbai,  Bengaluru / Bangalore,  Pune","Ml(Machinelearning),Python,Aws/Azure,Datascientist,Sql,Algorithms,Bi","Data Scientist - ML ,  Python ,  AWS / Azure - 4-7 years - Mumbai / Pune / BangaloreDiscipline: AnalyticsJob type: PermanentContact name: Srishti PathakContact email: srishti.... More Details
",https://www.timesjobs.com/job-detail/data-scientist-ml-python-aws-azure-4-7-years-crescendo-global-mumbai-bengaluru-bangalore-pune-4-to-7-yrs-jobid-QCwsIBuhlbBzpSvf__PLUS__uAgZw==&source=srp
Sysvine Technologies,Posted few days ago,Chennai,"Python,Sql,Aws,Ci/Cdpipeline,Backendengineering,Seniorsoftwareengineer,Games,Mobile","# **Job Title:** Senior Software Engineer  Dev Python-  ( REQ / 0629 ) **Job Id:** REQ / 0629**Location:** Chennai**Experience:** 4 to 8 Years**CTC:** 10L to 15L**Date Posted:... More Details
",https://www.timesjobs.com/job-detail/senior-software-engineer-dev-python-req-0629-sysvine-technologies-sysvine-technologies-chennai-4-to-8-yrs-jobid-Lvg5__SLASH__3inYe1zpSvf__PLUS__uAgZw==&source=srp
Nielsen Research Ltd. Co.,Posted few days ago,Bengaluru / Bangalore,"C#,.Netcore,Python,Microservices,Databasedesignandoptimization.,Orchestration,Storage,Docker,Security,Git,Devops,Debugging,Softwareengineer,Softwareengineering,Api,Accessmanagement,Nosql,C#.Net,Infrastructure","Senior Backend Engineer  ( c# / .net Core /  Python )  Bangalore ,  IndiaTechnology  Engineering  /  Full Time  /  HybridAt Nielsen ,  we believe that career growth is a partn... More Details
",https://www.timesjobs.com/job-detail/nielsen-senior-backend-engineer-c-net-core-python-nielsen-research-ltd-co-bengaluru-bangalore-4-to-7-yrs-jobid-vX3wl0InT89zpSvf__PLUS__uAgZw==&source=srp
SLA Consultants India,Posted 4 days ago,"Noida/Greater Noida,  Gurgaon,  Delhi,  Delhi/NCR","Css,Aop,Html5,Restapi,Ajax,Java,Xml,Webdeveloper,Webdevelopment,Api,Python,Javascript,Javadeveloper,Nosql,Jsp,Bootstrap,Hibernate,Softwareengineer,Phpwebdeveloper,Rdbms,Php,Wordpress,Spring,Mysql,Html,Projectlifecycle,Data","Competent professional having experience as a Web Developer and PHP Programmer to rewrite Recruitment AutomationStrong MySQL ,  AJAX ,  JQuery ,  HTML and JavaScript CSS skill... More Details
",https://www.timesjobs.com/job-detail/php-developer-java-developer-software-engineer-angularjs-developer-python-sla-consultants-india-noida-greater-noida-gurgaon-delhi-delhi-ncr-3-to-6-yrs-jobid-NW7Re9FRmQtzpSvf__PLUS__uAgZw==&source=srp
PUBLICIS GROUPE,Posted few days ago,Gurgaon,"Python,Ai,Machinelearning,Chatgpt,Regression,Algorithms,Artificialintelligence,Naturallanguageprocessing","Job Title: Senior Associate - Python Developer - AI and Machine Learning and Chat GPTLocation: GurgaonJob Type: Full-timeCompany Description:Re:Sources is the backbone of Publ... More Details
",https://www.timesjobs.com/job-detail/senior-associate-python-developer-ai-and-machine-learning-and-chat-gpt-publicis-groupe-gurgaon-3-to-7-yrs-jobid-zqjGl70JwK1zpSvf__PLUS__uAgZw==&source=srp
oneaccess networks pvt ltd,Posted few days ago,Bengaluru / Bangalore,"Css,Html5,Symfony,Ajax,Apache,Devops,Mysql,Html,Api,Python,Laravel,Github,Maven,Director,Javascript,Nfv,Jquery,Sql,Security,Git,Linux,Mvc,Rest,C,Teamplayer,Php","Within the last decade ,  Ekinops has launched its innovative end-to-end open virtualization platform that allows clients to virtualize their network within a ZTP uCPE and man... More Details
",https://www.timesjobs.com/job-detail/r-d-linux-php-python-senior-fullstack-nfv-engineer-oneaccess-networks-pvt-ltd-bengaluru-bangalore-20-to-23-yrs-jobid-vHkuQQt4SEdzpSvf__PLUS__uAgZw==&source=srp
